Profile: Function timing, sorted by time
Date:    Mon Apr 10 21:36:15 2006


Program Statistics
------------------
    Command line at 2006 Apr 10 21:35: LiteEdit
    Total time: 9825.841 millisecond
    Time outside of functions: 8149.336 millisecond
    Call depth: 165
    Total functions: 676
    Total hits: 416307
    Function coverage: 64.5%
    Overhead Calculated 10
    Overhead Average 10

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 1676.505 millisecond
    Percent of time in module: 100.0%
    Functions in module: 676
    Hits in module: 416307
    Module function coverage: 64.5%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.305   0.0        2.739   0.2        8 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
       0.287   0.0        0.287   0.0        1 _$E204 (codecoloring.obj)
       0.282   0.0        0.282   0.0        1 ATL::AtlModuleRegisterWndClassInfoA(struct ATL::_ATL_MODULE *,struct _ATL_WNDCLASSINFOA *,long (**)(struct HWND__ *,unsigned int,unsigned int,long)) (editctrl.obj)
       0.279   0.0        0.279   0.0        9 CLiteEditDlg::OnTimer(unsigned int) (liteeditdlg.obj)
       0.267   0.0        0.267   0.0        3 SetSubMenu(struct HMENU__ *,int,struct HMENU__ *) (utility.obj)
       0.261   0.0        0.261   0.0       42 SetMenuItemEnabled(struct HMENU__ *,unsigned int,bool,bool) (utility.obj)
       0.237   0.0        0.237   0.0        2 CLiteEditDlg::OnPaint(void) (liteeditdlg.obj)
       0.237   0.0        0.226   0.0        2 EditCtrl::OnKillFocus(unsigned int,unsigned int,long,int &) (editctrl.obj)
       0.195   0.0        1.786   0.1        1 CLiteEditDlg::BuildToolsMenu(void) (liteeditdlg.obj)
       0.169   0.0        0.000   0.0        3 CommandIdCreator::ReleaseSubMenuItemsIds(struct HMENU__ *) (utility.obj)
       0.145   0.0        0.456   0.0        3 CLiteEditDlg::ProcessDynamicCommand(unsigned int) (liteeditdlg.obj)
       0.143   0.0        0.143   0.0       18 std::deque<class Ptr<class Range const >,class std::allocator<class Ptr<class Range const > > >::pop_back(void) (codecoloring.obj)
       0.136   0.0        0.140   0.0        1 _$E228 (editctrl.obj)
       0.132   0.0        3.510   0.2        3 EditCtrl::NotifyParent(unsigned short) (editctrl.obj)
       0.122   0.0        2.214   0.1        4 EditCtrl::InvalidateGutter(void) (editctrl.obj)
       0.122   0.0        0.000   0.0       24 Range::Range(enum TokenKinds,long,class CString const &,class CString const &,class CString const &) (codecoloring.obj)
       0.110   0.0        0.110   0.0        1 ConvertLFtoCRLF(char *,char const *) (utility.obj)
       0.109   0.0        4.808   0.3        1 TextHolder::RewrapAllLines(long &,long &) (editctrl.obj)
       0.108   0.0        0.374   0.0        1 EditCtrl::OnLButtonDown(unsigned int,unsigned int,long,int &) (editctrl.obj)
       0.091   0.0        0.091   0.0        3 GetLogFont(class CFont const &,struct tagLOGFONTA &) (utility.obj)
       0.087   0.0        0.087   0.0        6 StringVector::FindString(class CString const &,bool) (utility.obj)
       0.086   0.0        0.086   0.0        1 CountChar(class CString const &,char) (utility.obj)
       0.071   0.0        0.071   0.0        3 EditCtrl::OnEraseBkGnd(unsigned int,unsigned int,long,int &) (editctrl.obj)
       0.069   0.0        0.069   0.0       21 EditCtrl::GetClientWidth(void) (editctrl.obj)
       0.065   0.0        0.065   0.0        3 EditCtrl::OnNcCalcSize(unsigned int,unsigned int,long,int &) (editctrl.obj)
       0.062   0.0       22.494   1.3        1 CLiteEditDlg::LoadFile(class CString const &,bool) (liteeditdlg.obj)
       0.057   0.0        0.062   0.0        1 CloneFont(class CFont const &) (utility.obj)
